year,round,pick,player,nfl url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career av,years as primary starter,games,games started,rushing attempts,rushing yards,rushing td,receiving attemps,receiving yards,receiving td,college,cfb url,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl av,nfl table type,cfb method,nfl method
2003,4,127,Sam Aiken,https://www.pro-football-reference.com/players/A/AikeSa00.htm,WR,22,BUF,2003,2010,0,0,0,7,95,11,,,,48,684,2,North Carolina,https://www.sports-reference.com/cfb/players/sam-aiken-1.html,North Carolina,ACC,SR,WR,46.0,146,2195,15.0,15,7,33,4.7,0,153,2228,14.6,15,30,CLE,,85,95,11,94,48,684,14.3,2,29,81,0.5,7.2,51.1%,7.3,,,,,,,,,48,14.3,684,2,0,7,Receiving & Rushing Table,success,success from main
2003,5,139,Bobby Wade,https://www.pro-football-reference.com/players/W/WadeBo00.htm,WR,22,CHI,2003,2009,0,0,3,22,102,50,22,93,0,244,2858,9,Arizona,https://www.sports-reference.com/cfb/players/bobby-wade-1.html,Arizona,Pac-10,SR,WR,45.0,230,3351,14.6,23,12,53,4.4,0,242,3404,14.1,23,28,KAN,wr,80,102,50,441,244,2858,11.7,9,134,59,2.4,28.0,55.3%,6.5,22,93,0,7,14,4.2,0.9,0.2,266,11.1,2951,9,23,25,Receiving & Rushing Table,success,success from main
2003,5,143,Justin Gage,https://www.pro-football-reference.com/players/G/GageJu00.htm,WR,22,CHI,2003,2010,0,0,4,25,100,49,,,,201,2958,16,Missouri,https://www.sports-reference.com/cfb/players/justin-gage-1.html,Missouri,Big 12,SR,WR,37.0,200,2704,13.5,18,28,6,0.2,0,228,2710,11.9,18,29,TEN,wr,12,100,49,395,201,2958,14.7,16,154,73,2.0,29.6,50.9%,7.5,,,,,,,,,201,14.7,2958,16,3,28,Receiving & Rushing Table,success,success from main
2003,5,158,Adrian Madise,https://www.pro-football-reference.com/players/M/MadiAd00.htm,WR,23,DEN,2003,2003,0,0,0,0,11,0,1,10,0,2,10,0,TCU,https://www.sports-reference.com/cfb/players/adrian-madise-1.html,Texas Christian,CUSA,SR,WR,22.0,82,1343,16.4,7,,,,,82,1343,16.4,7,23,DEN,,82,11,,,,,,,5,137,0,83,27.4,157,0,,,,,,,,,,,,,,Kick & Punt Returns Table,success,success from main
2003,5,159,Jon Olinger,nfl link is missing,WR,,ATL,,,0,0,0,,,,,,,,,,Cincinnati,https://www.sports-reference.com/cfb/players/jon-olinger-1.html,Cincinnati,CUSA,SR,WR,34.0,89,1669,18.8,14,,,,,89,1669,18.8,14,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2003,5,167,Doug Gabriel,https://www.pro-football-reference.com/players/G/GabrDo00.htm,WR,23,OAK,2003,2006,0,0,0,14,57,12,3,12,0,101,1550,8,Central Florida,https://www.sports-reference.com/cfb/players/doug-gabriel-1.html,UCF,MAC,SR,WR,22.0,97,1869,19.3,20,7,52,7.4,1,104,1921,18.5,21,,OAK,,80,57,12,206,101,1550,15.3,8,58,58,1.8,27.2,49.0%,7.5,3,12,0,0,5,4.0,0.2,0.1,104,15.0,1562,8,3,15,Receiving & Rushing Table,success,success from main
2003,5,169,J.R. Tolver,nfl link is missing,WR,,MIA,,,0,0,0,,,,,,,,,,San Diego St.,https://www.sports-reference.com/cfb/players/jr-tolver-1.html,San Diego State,MWC,SR,WR,41.0,262,3572,13.6,18,8,34,4.3,1,270,3606,13.4,19,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,success,fail (eg link broken)
2003,6,175,David Kircus,https://www.pro-football-reference.com/players/K/KircDa00.htm,WR,23,DET,2003,2006,0,0,0,3,28,2,,,,15,308,1,Grand Valley St.,https://www.sports-reference.com/cfb/players/david-kircus-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,26,DEN,,87,28,2,49,15,308,20.5,1,14,50,0.5,11.0,30.6%,6.3,,,,,,,,,15,20.5,308,1,0,3,Receiving & Rushing Table,fail (eg link broken),success from main
2003,6,186,Zuriel Smith,https://www.pro-football-reference.com/players/S/SmitZu00.htm,WR,23,DAL,2003,2003,0,0,0,0,9,0,,,,3,46,0,Hampton,https://www.sports-reference.com/cfb/players/zuriel-smith-1.html,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,23,DAL,,87,9,,30,212,0,46,7.1,23,495,0,54,21.5,753,0,,,,,,,,,,,,,,Kick & Punt Returns Table,fail (eg link broken),success from main
2003,6,196,LaTarence Dunbar,https://www.pro-football-reference.com/players/D/DunbLa20.htm,WR,23,ATL,2003,2003,0,0,0,0,5,0,,,,,,,TCU,https://www.sports-reference.com/cfb/players/latarence-dunbar-1.html,Texas Christian,CUSA,SR,WR,45.0,111,1560,14.1,13,41,235,5.7,3,152,1795,11.8,16,23,ATL,,82,5,,,,,,,,,,,,0.0,4,4,0,0,,,0,,,,,,,,Defense & Fumbles Table,success,success from main
2003,6,197,Arnaz Battle,https://www.pro-football-reference.com/players/B/BattAr00.htm,WR,23,SFO,2003,2011,0,0,3,18,113,38,22,77,1,178,2150,11,Notre Dame,https://www.sports-reference.com/cfb/players/arnaz-battle-1.html,Notre Dame,Ind,SR,WR,40.0,30,69,43.5,438,6.3,3.7,2,5,91.9,,,,31,PIT,,81,113,38,309,178,2150,12.1,11,108,65,1.6,19.0,57.6%,7.0,22,77,1,6,18,3.5,0.7,0.2,200,11.1,2227,12,15,19,Receiving & Rushing Table,success,success from main
