cfbconference,cfbclass,cfbgames,cfbreceptions,cfbrecyards,cfbrecyardsperreception,cfbrectd,cfbrushattempts,cfbrushyards,cfbrushyardsperattempt,cfbrushtd,cfbscrimmages,cfbyards,cfbyardsfromscrimmage,cfbtd,combineht,combinewt,combineforty,combinevertical,combinebenchreps,combinebroadjump,combinecone,combineshuttle,yardsfirst5seasons
Big East,SR,46.0,173.0,2924.0,16.9,15.0,19.0,162.0,8.5,1.0,192.0,3086.0,16.1,16.0,71.0,176.0,4.51,31.0,,120.0,6.57,4.12,2574.0
Big Ten,JR,34.0,137.0,2310.0,16.9,27.0,31.0,176.0,5.7,0.0,168.0,2486.0,14.8,27.0,72.0,181.0,4.59,32.0,16.0,117.0,7.34,4.27,2764.0
SEC,SR,53.0,185.0,2349.0,12.7,16.0,41.0,293.0,7.1,4.0,226.0,2642.0,11.7,20.0,72.0,204.0,4.35,33.0,,124.0,6.75,4.11,1190.0
Big 12,SR,44.0,143.0,2125.0,14.9,13.0,9.0,11.0,1.2,0.0,152.0,2136.0,14.1,13.0,72.0,214.0,4.37,34.5,,,,,83.0
MWC,SR,49.0,153.0,2073.0,13.5,13.0,54.0,323.0,6.0,5.0,207.0,2396.0,11.6,18.0,73.0,221.0,4.51,26.5,20.0,111.0,7.1,4.42,0.0
Other,Non Declared,,,,,,,,,,,,,,73.0,194.0,4.37,37.5,19.0,128.0,6.67,3.96,0.0
Pac-10,SR,35.0,136.0,1748.0,12.9,12.0,13.0,127.0,9.8,0.0,149.0,1875.0,12.6,12.0,71.0,187.0,4.57,,14.0,117.0,,,771.0
SEC,SR,46.0,189.0,2376.0,12.6,25.0,8.0,18.0,2.3,0.0,197.0,2394.0,12.2,25.0,72.0,201.0,4.44,38.5,10.0,125.0,6.77,4.2,425.0
ACC,SR,39.0,139.0,1458.0,10.5,7.0,151.0,829.0,5.5,5.0,290.0,2287.0,7.9,12.0,71.0,195.0,4.47,28.0,,120.0,7.09,4.3,59.0
Pac-10,SR,,,,,,,,,,,,,,,,,,,,,,46.0
Big 12,SR,45.0,104.0,1598.0,15.4,13.0,1.0,23.0,23.0,0.0,105.0,1621.0,15.4,13.0,76.0,207.0,4.55,31.5,,126.0,7.08,4.3,0.0
ACC,SR,51.0,122.0,1817.0,14.9,16.0,6.0,20.0,3.3,0.0,128.0,1837.0,14.4,16.0,72.0,219.0,4.46,,,,,,2274.0
WAC,SR,46.0,178.0,2485.0,14.0,21.0,35.0,165.0,4.7,1.0,213.0,2650.0,12.4,22.0,71.0,202.0,4.69,27.5,,115.0,7.31,4.77,0.0
Big Ten,SR,26.0,53.0,936.0,17.7,5.0,0.0,0.0,0.0,0.0,53.0,936.0,17.7,5.0,75.0,221.0,4.49,29.5,15.0,126.0,,,8.0
Other,Non Declared,,,,,,,,,,,,,,71.0,177.0,4.5,32.0,14.0,118.0,6.75,4.18,9.0
Other,Non Declared,,,,,,,,,,,,,,72.0,210.0,4.42,36.5,20.0,125.0,6.9,4.19,3152.0
ACC,SR,50.0,83.0,1338.0,16.1,8.0,1.0,10.0,10.0,0.0,84.0,1348.0,16.0,8.0,75.0,213.0,4.56,28.5,,120.0,7.03,4.43,0.0
MWC,SR,44.0,133.0,1893.0,14.2,8.0,7.0,35.0,5.0,0.0,140.0,1928.0,13.8,8.0,,,,,,,,,87.0
SEC,SR,26.0,72.0,1200.0,16.7,14.0,0.0,0.0,0.0,0.0,72.0,1200.0,16.7,14.0,,,,,,,,,3235.0
MWC,SR,32.0,103.0,1603.0,15.6,7.0,0.0,0.0,0.0,0.0,103.0,1603.0,15.6,7.0,,,,,,,,,1191.0
Big Ten,SR,35.0,109.0,1438.0,13.2,16.0,0.0,0.0,0.0,0.0,109.0,1438.0,13.2,16.0,75.0,203.0,4.55,,,,,,110.0
Big East,JR,34.0,130.0,2271.0,17.5,16.0,0.0,0.0,0.0,0.0,130.0,2271.0,17.5,16.0,77.0,232.0,4.59,30.0,16.0,115.0,7.07,4.44,0.0
SEC,SR,43.0,138.0,2151.0,15.6,27.0,0.0,0.0,0.0,0.0,138.0,2151.0,15.6,27.0,76.0,222.0,4.56,34.5,9.0,119.0,7.08,4.3,0.0
ACC,JR,38.0,178.0,2927.0,16.4,28.0,10.0,40.0,4.0,1.0,188.0,2967.0,15.8,29.0,77.0,239.0,4.35,,,,,,5872.0
Big Ten,JR,37.0,135.0,1943.0,14.4,15.0,28.0,213.0,7.6,3.0,163.0,2156.0,13.2,18.0,71.0,178.0,4.38,,,,,,2047.0
SEC,SR,46.0,154.0,2403.0,15.6,26.0,1.0,2.0,2.0,0.0,155.0,2405.0,15.5,26.0,74.0,221.0,4.51,33.0,,125.0,6.81,4.35,4927.0
SEC,JR,37.0,125.0,2140.0,17.1,17.0,7.0,3.0,0.4,0.0,132.0,2143.0,16.2,17.0,74.0,214.0,4.39,37.5,,121.0,6.97,4.31,2476.0
SEC,SR,42.0,141.0,2117.0,15.0,7.0,5.0,20.0,4.0,0.0,146.0,2137.0,14.6,7.0,,,,,,,,,558.0
Big Ten,JR,33.0,87.0,1286.0,14.8,13.0,3.0,36.0,12.0,0.0,90.0,1322.0,14.7,13.0,72.0,193.0,4.44,38.0,,123.0,6.54,4.08,1307.0
SEC,SO,24.0,142.0,2233.0,15.7,23.0,1.0,6.0,6.0,0.0,143.0,2239.0,15.7,23.0,75.0,200.0,4.51,39.5,,119.0,7.09,4.34,2613.0
Pac-10,JR,38.0,216.0,3138.0,14.5,41.0,3.0,1.0,0.3,0.0,219.0,3139.0,14.3,41.0,76.0,219.0,4.62,,,,,,428.0
Pac-10,SR,46.0,190.0,3019.0,15.9,22.0,4.0,18.0,4.5,0.0,194.0,3037.0,15.7,22.0,72.0,197.0,4.44,38.0,,120.0,6.68,4.19,2510.0
Big 12,SR,25.0,16.0,116.0,7.3,2.0,113.0,452.0,4.0,6.0,129.0,568.0,4.4,8.0,75.0,210.0,4.5,34.0,,129.0,7.03,4.31,1741.0
Big 12,SR,34.0,73.0,1144.0,15.7,6.0,5.0,79.0,15.8,2.0,78.0,1223.0,15.7,8.0,71.0,174.0,4.3,,,123.0,6.85,4.21,110.0
Other,Non Declared,,,,,,,,,,,,,,74.0,199.0,4.38,39.0,19.0,127.0,6.83,4.28,1858.0
Pac-10,SR,43.0,148.0,2704.0,18.3,32.0,3.0,-10.0,-3.3,0.0,151.0,2694.0,17.8,32.0,72.0,204.0,4.32,37.0,,123.0,7.02,4.22,909.0
WAC,SR,44.0,126.0,1496.0,11.9,12.0,24.0,126.0,5.3,1.0,150.0,1622.0,10.8,13.0,73.0,207.0,4.54,34.0,22.0,119.0,7.06,4.2,2704.0
CUSA,SR,46.0,184.0,2561.0,13.9,17.0,1.0,7.0,7.0,0.0,185.0,2568.0,13.9,17.0,74.0,209.0,4.35,36.5,18.0,121.0,6.92,4.39,1809.0
WAC,SR,38.0,72.0,1048.0,14.6,8.0,16.0,174.0,10.9,1.0,88.0,1222.0,13.9,9.0,73.0,205.0,4.45,38.5,,125.0,7.03,4.24,7.0
Other,Non Declared,,,,,,,,,,,,,,71.0,186.0,4.48,36.5,,122.0,6.62,4.32,779.0
MAC,SR,50.0,258.0,3697.0,14.3,22.0,25.0,122.0,4.9,0.0,283.0,3819.0,13.5,22.0,69.0,179.0,4.47,35.0,,123.0,6.71,4.21,35.0
ACC,SR,51.0,137.0,1842.0,13.4,12.0,22.0,70.0,3.2,1.0,159.0,1912.0,12.0,13.0,70.0,181.0,4.5,35.5,,115.0,6.66,4.14,69.0
Big Ten,SR,48.0,156.0,1696.0,10.9,10.0,42.0,321.0,7.6,2.0,198.0,2017.0,10.2,12.0,72.0,193.0,4.46,33.0,,124.0,6.9,4.29,3313.0
CUSA,SR,22.0,145.0,1732.0,11.9,11.0,12.0,55.0,4.6,0.0,157.0,1787.0,11.4,11.0,72.0,198.0,4.39,37.0,,127.0,,,231.0
ACC,SR,49.0,93.0,1373.0,14.8,6.0,2.0,-25.0,-12.5,0.0,95.0,1348.0,14.2,6.0,72.0,188.0,4.36,32.5,,123.0,7.0,4.15,465.0
Big Ten,SR,45.0,52.0,580.0,11.2,3.0,0.0,0.0,0.0,0.0,52.0,580.0,11.2,3.0,,,,,,,,,9.0
WAC,SR,49.0,74.0,1073.0,14.5,12.0,18.0,198.0,11.0,0.0,92.0,1271.0,13.8,12.0,74.0,225.0,4.41,40.0,19.0,119.0,,,1213.0
Big 12,SR,50.0,175.0,2626.0,15.0,23.0,18.0,111.0,6.2,0.0,193.0,2737.0,14.2,23.0,74.0,211.0,4.57,32.5,17.0,117.0,,,0.0
