year,round,pick,player,cfb_url,cfb_table_name,cfb_school,cfb_conference,cfb_class,cfb_pos,cfb_games,cfb_receptions,cfb_rec_yards,cfb_rec_yards_per_reception,cfb_rec_td,cfb_rushes,cfb_rushing_yards,cfb_rushing_yards_per_rush,cfb_rushing_td,cfb_plays,cfb_yards,cfb_yards_per_play,cfb_td,combine_method,combine_draft_age,combine_ht,combine_wt,combine_forty,combine_vertical,combine_benchreps,combine_broadjump,combine_cone,nfl_url,nfl_table_name,nfl_yards_per_year
2013,3,74,Terrance Williams,https://www.sports-reference.com/cfb/players/terrance-williams-2.html,receiving & rushing table,Baylor,Big 12,SR,WR,51.0,202.0,3334.0,16.5,27.0,3.0,17.0,5.7,0.0,205.0,3351.0,16.3,27.0,success from merge,23,74.0,208.0,4.52,32.5,11.0,119.0,7.01,https://www.pro-football-reference.com/players/W/WillTe01.htm,receiving & rushing table,"[736.0, 621.0, 840.0, 594.0, 568.0, 18.0]"
2013,3,76,Keenan Allen,https://www.sports-reference.com/cfb/players/keenan-allen-1.html,receiving & rushing table,California,Pac-12,JR,WR,33.0,205.0,2570.0,12.5,17.0,30.0,230.0,7.7,2.0,235.0,2800.0,11.9,19.0,success from merge,21,74.0,206.0,4.58,,,,,https://www.pro-football-reference.com/players/A/AlleKe00.htm,receiving & rushing table,"[1046.0, 783.0, 725.0, 63.0, 1393.0, 1196.0, 1199.0, 265.0]"
2013,3,78,Marquise Goodwin,https://www.sports-reference.com/cfb/players/marquise-goodwin-1.html,receiving & rushing table,Texas,Big 12,SR,WR,50.0,120.0,1364.0,11.4,7.0,46.0,405.0,8.8,3.0,166.0,1769.0,10.7,10.0,success from merge,22,69.0,183.0,4.27,,13.0,132.0,,https://www.pro-football-reference.com/players/G/GoodMa00.htm,receiving & rushing table,"[283.0, 42.0, 24.0, 431.0, 962.0, 395.0, 186.0]"
2013,3,79,Markus Wheaton,https://www.sports-reference.com/cfb/players/markus-wheaton-1.html,receiving & rushing table,Oregon State,Pac-12,SR,WR,49.0,227.0,2994.0,13.2,16.0,83.0,631.0,7.6,5.0,310.0,3625.0,11.7,21.0,success from merge,22,71.0,189.0,4.45,37.0,20.0,120.0,6.8,https://www.pro-football-reference.com/players/W/WheaMa00.htm,receiving & rushing table,"[64.0, 644.0, 749.0, 51.0, 51.0, 0.0]"
2013,3,92,Stedman Bailey,https://www.sports-reference.com/cfb/players/stedman-bailey-1.html,receiving & rushing table,West Virginia,Big 12,JR,WR,39.0,210.0,3218.0,15.3,41.0,2.0,13.0,6.5,0.0,212.0,3231.0,15.2,41.0,success from merge,22,70.0,193.0,4.52,34.5,11.0,117.0,6.81,https://www.pro-football-reference.com/players/B/BailSt01.htm,receiving & rushing table,"[226.0, 435.0, 182.0]"
2013,4,101,Ace Sanders ,https://www.sports-reference.com/cfb/players/ace-sanders-1.html,receiving & rushing table,South Carolina,SEC,JR,WR,40.0,99.0,1230.0,12.4,13.0,12.0,72.0,6.0,0.0,111.0,1302.0,11.7,13.0,success from search,21,67.0,173.0,4.58,32.0,7.0,117.0,6.81,https://www.pro-football-reference.com/players/S/SandAc00.htm,receiving & rushing table,"[484.0, 55.0]"
2013,4,102,Josh Boyce,https://www.sports-reference.com/cfb/players/josh-boyce-1.html,receiving & rushing table,Texas Christian,Big 12,JR,WR,39.0,161.0,2535.0,15.7,22.0,4.0,7.0,1.8,1.0,165.0,2542.0,15.4,23.0,success from merge,22,71.0,206.0,4.38,34.0,22.0,131.0,6.68,https://www.pro-football-reference.com/players/B/BoycJo00.htm,receiving & rushing table,"[121.0, 0.0]"
2013,4,123,Chris Harper,https://www.sports-reference.com/cfb/players/chris-harper-2.html,receiving & rushing table,Kansas State,Big 12,SR,WR,39.0,123.0,1734.0,14.1,12.0,8.0,45.0,5.6,0.0,131.0,1779.0,13.6,12.0,success from merge,23,73.0,229.0,4.55,35.5,20.0,116.0,6.89,https://www.pro-football-reference.com/players/H/HarpCh00.htm,receiving & rushing table,[0.0]
2013,4,128,Quinton Patton,https://www.sports-reference.com/cfb/players/quinton-patton-1.html,receiving & rushing table,Louisiana Tech,WAC,SR,WR,25.0,183.0,2594.0,14.2,24.0,11.0,37.0,3.4,0.0,194.0,2631.0,13.6,24.0,success from merge,23,72.0,204.0,4.53,33.0,8.0,118.0,6.91,https://www.pro-football-reference.com/players/P/PattQu00.htm,receiving & rushing table,"[34.0, 44.0, 394.0, 408.0]"
2013,5,135,Denard Robinson,https://www.sports-reference.com/cfb/players/denard-robinson-1.html,receiving & rushing table webdriver inverted,Michigan,Big Ten,SR,QB,49.0,3.0,31.0,10.3,0.0,723.0,4495.0,6.2,42.0,726.0,4526.0,6.2,42.0,success from merge,22,70.0,199.0,4.43,36.5,,123.0,7.09,https://www.pro-football-reference.com/players/R/RobiDe00.htm,receiving & rushing table inverted,"[0.0, 124.0, 164.0, 22.0]"
