0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,17.0,137.0,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
35.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
55.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
90.0,0.0,,,,,,,,,,,,,,
0.0,31.0,679.0,12.0,727.0,717.0,181.0,,,,,,,,,
0.0,,,,,,,,,,,,,,,
92.0,510.0,874.0,738.0,104.0,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
415.0,127.0,361.0,699.0,0.0,,,,,,,,,,,
536.0,1240.0,896.0,495.0,347.0,89.0,241.0,400.0,,,,,,,,
741.0,1006.0,600.0,650.0,151.0,84.0,67.0,17.0,,,,,,,,
40.0,433.0,1105.0,838.0,1483.0,790.0,808.0,1044.0,902.0,1115.0,584.0,573.0,452.0,116.0,,
283.0,105.0,498.0,377.0,,,,,,,,,,,,
345.0,716.0,838.0,1210.0,1055.0,1310.0,1510.0,1145.0,1264.0,1355.0,960.0,1355.0,503.0,779.0,,
432.0,964.0,516.0,404.0,144.0,260.0,150.0,0.0,,,,,,,,
329.0,1166.0,1355.0,1274.0,1432.0,1369.0,1440.0,540.0,1047.0,831.0,276.0,,,,,
0.0,293.0,520.0,367.0,366.0,31.0,391.0,25.0,,,,,,,,
883.0,734.0,963.0,898.0,1118.0,677.0,970.0,415.0,555.0,462.0,730.0,608.0,122.0,213.0,,
154.0,872.0,1110.0,60.0,1563.0,1166.0,1002.0,1421.0,982.0,554.0,1394.0,1174.0,745.0,1065.0,670.0,799.0
511.0,4.0,,,,,,,,,,,,,,
69.0,0.0,,,,,,,,,,,,,,
88.0,301.0,813.0,770.0,713.0,347.0,232.0,412.0,,,,,,,,
29.0,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,
50.0,0.0,61.0,10.0,0.0,,,,,,,,,,,
211.0,322.0,325.0,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
256.0,360.0,71.0,87.0,,,,,,,,,,,,
28.0,14.0,50.0,278.0,9.0,,,,,,,,,,,
0.0,93.0,173.0,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,166.0,396.0,641.0,451.0,504.0,207.0,,,,,,,,,
84.0,180.0,180.0,0.0,23.0,0.0,0.0,,,,,,,,,
0.0,,,,,,,,,,,,,,,
228.0,492.0,0.0,978.0,956.0,1081.0,1143.0,904.0,911.0,398.0,146.0,,,,,
0.0,,,,,,,,,,,,,,,
203.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
28.0,211.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
53.0,253.0,121.0,,,,,,,,,,,,,
149.0,41.0,88.0,49.0,,,,,,,,,,,,
592.0,667.0,606.0,819.0,127.0,180.0,,,,,,,,,,
273.0,1008.0,1325.0,860.0,698.0,1214.0,988.0,1025.0,454.0,0.0,0.0,612.0,42.0,,,
276.0,560.0,869.0,632.0,421.0,604.0,651.0,4.0,0.0,4.0,,,,,,
678.0,,,,,,,,,,,,,,,
154.0,0.0,,,,,,,,,,,,,,
422.0,211.0,601.0,729.0,806.0,441.0,228.0,601.0,545.0,357.0,,,,,,
181.0,586.0,798.0,575.0,676.0,,,,,,,,,,,
6.0,220.0,688.0,361.0,998.0,942.0,19.0,705.0,181.0,,,,,,,
125.0,251.0,421.0,,,,,,,,,,,,,
87.0,428.0,656.0,583.0,370.0,25.0,,,,,,,,,,
128.0,36.0,,,,,,,,,,,,,,
92.0,227.0,377.0,,,,,,,,,,,,,
370.0,868.0,1264.0,1204.0,950.0,845.0,1098.0,646.0,850.0,514.0,,,,,,
97.0,281.0,286.0,,,,,,,,,,,,,
713.0,1081.0,877.0,1137.0,1199.0,482.0,956.0,497.0,190.0,,,,,,,
26.0,,,,,,,,,,,,,,,
268.0,228.0,115.0,,,,,,,,,,,,,
182.0,217.0,385.0,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
90.0,52.0,,,,,,,,,,,,,,
126.0,0.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,0.0,322.0,423.0,230.0,436.0,204.0,27.0,105.0,,,,,,,
0.0,,,,,,,,,,,,,,,
5.0,0.0,207.0,456.0,5.0,152.0,209.0,101.0,,,,,,,,
71.0,0.0,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
99.0,212.0,99.0,0.0,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
11.0,,,,,,,,,,,,,,,
134.0,32.0,0.0,432.0,207.0,152.0,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,
