,year,round,pick,player,NFL-url,pos,draft age,team,entry year,last year,1st team pro select,pro select,weighted career AV,years as primary starter,games,games started,rushing attempts,rushing yards,rushing TD,receiving attemps,receiving yards,receiving td,college,link,cfb school,cfb conference,cfb class,cfb pos,cfb games,cfb receptions,cfb yards,cfb average,cfb td,cfb attemps rushing,cfb yards rushing,cfb avg rushing,cfb td rushing,cfb scrimmages,cfb yards total,cfb avg total,cfb td total,nfl age,nfl team,nfl pos,nfl no,nfl game,nfl game started,nfl target,nfl receptions,nfl yards,nfl y/r,nfl td,nfl first downs,nfl longest rec,nfl rec per game,nfl yards per game,nfl catch ratio,nfl yards per target,nfl rushes,nfl rush yards,nfl rush td,nfl first downs rush,nfl longest rush,nfl rush yards per attempt,nfl rush yards per game,nfl rush attempt per games,nfl total touches,nfl yards per touch,nfl yards from scrimmage,nfl total td,nfl fumbles,nfl AV
20,2019,6,187,Juwann Winfree,https://www.pro-football-reference.com/players/W/WinfJu00.htm,WR,23,DEN,2019,2019,0,0,0,0,3,0,,,,,,,Colorado,https://www.sports-reference.com/cfb/players/juwann-winfree-1.html,Colorado,Pac-12,SR,WR,21.0,60,807,13.5,6,0,0,,0,60,807,13.5,6,23,DEN,,15,3,,0,,,,,,,,,,,,,,,,,,,,,,,,
21,2019,6,203,Marcus Green,https://www.pro-football-reference.com/players/G/GreeMa02.htm,WR,23,ATL,,,0,0,0,,,,,,,,,,La-Monroe,https://www.sports-reference.com/cfb/players/marcus-green-6.html,Louisiana-Monroe,Sun Belt,JR,WR,36.0,50,855,17.1,8,20,193,9.7,1,70,1048,15.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2019,6,206,Kelvin Harmon,https://www.pro-football-reference.com/players/H/HarmKe00.htm,WR,22,WAS,2019,2019,0,0,1,3,16,8,,,,30,365,0,North Carolina St.,https://www.sports-reference.com/cfb/players/kelvin-harmon-1.html,North Carolina State,ACC,JR,WR,35.0,177,2665,15.1,16,0,0,,0,177,2665,15.1,16,23,WAS,WR,13,16,8,44,30,365,12.2,0,16,30,1.9,22.8,68.2%,8.3,,,,,,,,,30,12.2,365,0,0,3
23,2019,6,208,Scott Miller,https://www.pro-football-reference.com/players/M/MillSc01.htm,WR,22,TAM,2019,2019,0,0,0,2,10,2,2,16,0,13,200,1,Bowling Green,https://www.sports-reference.com/cfb/players/scott-miller-3.html,Bowling Green State,MAC,JR,WR,34.0,71,1148,16.2,9,4,16,4.0,0,75,1164,15.5,9,22,TAM,wr,10,10,2,26,13,200,15.4,1,5,48,1.3,20.0,50.0%,7.7,2,16,0,1,18,8.0,1.6,0.2,15,14.4,216,1,0,2
24,2019,7,236,John Ursua,https://www.pro-football-reference.com/players/U/UrsuJo00.htm,WR,25,SEA,2019,2019,0,0,0,0,3,0,,,,1,11,0,Hawaii,https://www.sports-reference.com/cfb/players/john-ursua-1.html,Hawaii,MWC,JR,WR,33.0,189,2662,14.1,24,6,12,2.0,2,195,2674,13.7,26,25,SEA,,15,3,,1,1,11,11.0,0,1,11,0.3,3.7,100.0%,11.0,,,,,,,,,1,11.0,11,0,0,0
25,2019,7,237,Terry Godwin,https://www.pro-football-reference.com/players/G/GodwTe00.htm,WR,22,CAR,,,0,0,0,,,,,,,,,,Georgia,https://www.sports-reference.com/cfb/players/terry-godwin-1.html,Georgia,SEC,JR,WR,39.0,23,385,16.7,3,0,0,,0,23,385,16.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2019,7,239,Dillon Mitchell,https://www.pro-football-reference.com/players/M/MitcDi00.htm,WR,22,MIN,,,0,0,0,,,,,,,,,,Oregon,https://www.sports-reference.com/cfb/players/dillon-mitchell-1.html,Oregon,Pac-12,JR,WR,29.0,119,1710,14.4,14,5,11,2.2,0,124,1721,13.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2019,7,247,Olabisi Johnson,https://www.pro-football-reference.com/players/J/JohnOl00.htm,WR,22,MIN,2019,2019,0,0,0,3,16,6,1,6,0,31,294,3,Colorado St.,https://www.sports-reference.com/cfb/players/olabisi-johnson-1.html,Colorado State,MWC,JR,WR,27.0,54,796,14.7,4,0,0,,0,54,796,14.7,4,22,MIN,wr,81,16,6,45,31,294,9.5,3,17,23,1.9,18.4,68.9%,6.5,1,6,0,0,6,6.0,0.4,0.1,32,9.4,300,3,0,3
28,2018,1,24,D.J. Moore,https://www.pro-football-reference.com/players/M/MoorD.00.htm,WR,21,CAR,2018,2019,0,0,2,16,31,25,19,212,0,142,1963,6,Maryland,https://www.sports-reference.com/cfb/players/dj-moore-3.html,Maryland,Big Ten,JR,WR,36.0,146,2027,13.9,17,17,125,7.4,1,163,2152,13.2,18,22,CAR,WR,12,31,25,217,142,1963,13.8,6,96,82,4.6,63.3,65.4%,9.0,19,212,0,9,32,11.2,6.8,0.6,161,13.5,2175,6,6,16
29,2018,1,26,Calvin Ridley,https://www.pro-football-reference.com/players/R/RidlCa00.htm,WR,23,ATL,2018,2019,0,0,1,14,29,15,8,61,0,127,1687,17,Alabama,https://www.sports-reference.com/cfb/players/calvin-ridley-1.html,Alabama,SEC,JR,WR,44.0,224,2781,12.4,19,8,40,5.0,1,232,2821,12.2,20,25,ATL,WR,18,29,15,185,127,1687,13.3,17,86,75,4.4,58.2,68.6%,9.1,8,61,0,3,19,7.6,2.1,0.3,135,12.9,1748,17,2,14
